id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26296927,3-Zi.-Whg. in Top Lage!,119253700,Kim,,Maxvorstadt,48.15045,11.56762,Entire home/apt,60,28,14,2018-10-29,0.43,1,1
26300706,Room 10 minutes from Oktoberfest Munich.,197749756,Dany,,Sendling-Westpark,48.11427,11.52951,Private room,55,7,2,2019-04-15,0.06,2,87
26314800,München Mehrparteienhaus,196458339,Arkom,,Pasing-Obermenzing,48.15416,11.47776,Private room,70,7,1,2018-10-01,0.03,6,87
26318563,Nice apartment with balcony near Isar,197915946,Nicolas,,Au-Haidhausen,48.11986,11.57469,Entire home/apt,105,2,4,2018-10-04,0.13,1,0
26335718,München Mehrparteienhaus,196458339,Arkom,,Pasing-Obermenzing,48.15243,11.47612,Private room,70,2,0,,,6,90
26360913,Friendly room in central Munich flat-share house,9666241,Anton,,Ludwigsvorstadt-Isarvorstadt,48.13816,11.55589,Private room,40,28,3,2018-09-25,0.09,6,0
26374067,"Central Room, 15 min to Oktoberfest",11534230,Jelena,,Neuhausen-Nymphenburg,48.15611,11.53948,Private room,95,1,5,2019-09-29,0.16,2,363
26378931,Großes Privatzimmer mit Doppelbett zentral München,198363486,Glenn,,Ramersdorf-Perlach,48.11807,11.61301,Private room,85,3,25,2019-10-08,0.75,1,364
26383104,Light-flooded apartment with a spacious balcony,198390807,Shannon,,Neuhausen-Nymphenburg,48.15332,11.51353,Entire home/apt,96,2,6,2019-12-28,0.19,1,0
26392320,Schönes Zimmer in Solln mit Blick ins Grüne,26586161,Günter,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08654,11.51492,Private room,49,3,17,2019-10-07,0.52,2,28
26393207,Schönes Zimmer in Einfamilienhaus in Solln,26586161,Günter,,Thalkirchen-Obersendling-Forstenried-Fürstenried-Solln,48.08422,11.51342,Private room,49,3,28,2020-03-19,0.85,2,27
26409991,Spacious 1-room-apartment with a balcony,198583763,Tom,,Bogenhausen,48.16985,11.64197,Entire home/apt,60,2,56,2021-03-18,1.70,1,86
26413812,"Summer special,after Renovation,top reviews,6th fl",54718877,Marc,,Maxvorstadt,48.14987,11.56277,Entire home/apt,89,3,67,2020-08-22,2.06,2,188
26416972,Beautiful Family Home in Munich,7231318,Beate,,Untergiesing-Harlaching,48.0872,11.55273,Entire home/apt,120,7,1,2018-08-23,0.03,1,0
26417514,Modern cozy room in Munich,197885036,John,,Schwabing-West,48.16985,11.5649,Private room,40,2,5,2019-01-18,0.16,1,270
26420295,Urban apartment in Maxvorstadt,198660304,Babak,,Maxvorstadt,48.15305,11.57608,Entire home/apt,232,2,0,,,1,0
26440719,Feels like home in the heart of Munich,33916411,,,Ludwigsvorstadt-Isarvorstadt,48.13061,11.57677,Entire home/apt,120,1,34,2020-03-08,1.03,1,0
